,training_error,error_variance,edge_variance,real_error
0,0.05333966371963742,0.10321534722924058,0.8596821531557334,0.08
1,0.052193723333040905,0.10160839955231504,0.854365397922671,0.08
2,0.05130934708504684,0.10058764998847101,0.8481084644007637,0.08
3,0.05092304415011229,0.09984463395239922,0.8447219222479264,0.08
4,0.05094418942218299,0.10005963577908081,0.8422059960767099,0.08
5,0.05011850607301639,0.09855681228912537,0.8401939312662504,0.08
6,0.0501583898918853,0.09848521275323338,0.8382188626468156,0.08
7,0.04942506033878372,0.09783291545865992,0.8376110317337819,0.08
8,0.04896438610572936,0.09702585346722177,0.8375482416406931,0.1
9,0.04910081497365899,0.09670303396948265,0.8328385195260868,0.08
10,0.04962227215366401,0.09757914505481594,0.8335768780003957,0.06
11,0.049820759984906766,0.09809901940494443,0.8358150387011627,0.06
12,0.04923461474352108,0.09758530680331967,0.8360431998551473,0.04
13,0.04874866434439809,0.09690478087290293,0.8389293720095201,0.06
14,0.04836342703523068,0.09639884629143626,0.8399001175827063,0.06
15,0.04876844563397734,0.09722282834082036,0.8469402020185193,0.04
16,0.048578803888135486,0.09711320007195444,0.8479616759337997,0.04
17,0.048418903239805605,0.09680594976037434,0.8474379365234628,0.04
18,0.04810491437963935,0.09640332584340698,0.847836939387263,0.06
19,0.04795360485168224,0.09703828981754956,0.8401290392111931,0.04
20,0.04772920261828771,0.09657339657948458,0.8399639232250201,0.06
21,0.04713957275450713,0.09606291823821322,0.8358000289739557,0.04
22,0.04657796225371092,0.0952773381158937,0.8366921323647354,0.04
23,0.04642107049023875,0.09501709120758252,0.8380645645926454,0.06
24,0.046567303975210264,0.09502029720196735,0.8398540195519523,0.06
25,0.04652303143636377,0.09479075218505095,0.8429920793176401,0.06
26,0.04636180951712117,0.0943306775275698,0.8446322333403368,0.06
27,0.04611760752569508,0.094140066654395,0.8462480628315243,0.06
28,0.045814885236192225,0.09351742596089802,0.8484047522984661,0.06
29,0.045399398764981315,0.09315823587897921,0.8508013391128878,0.06
30,0.04559034799983538,0.09335220327188741,0.8505247223229101,0.06
31,0.04536376661998441,0.09302138733346968,0.8505643182470904,0.06
32,0.04510971686895406,0.09268651505122238,0.8528688501053183,0.06
33,0.044851508109011784,0.09220396769728086,0.8544339942428656,0.06
34,0.04442373338611878,0.09147594323814812,0.8580351915878623,0.06
35,0.04450923307729436,0.09152202587565693,0.8616064483220681,0.06
36,0.044076909540101496,0.09060102990644968,0.8591453419564039,0.06
37,0.04400631646412635,0.09049046231747065,0.8612226540323863,0.06
38,0.04397312986221016,0.09041313238490083,0.8615755286225327,0.06
39,0.04392727751650567,0.0907436164419663,0.8576557309715181,0.08
40,0.04421112843397027,0.09088069408439915,0.859396089757021,0.08
41,0.044523631577080676,0.0913663169707896,0.8589413315416113,0.08
42,0.044508747721799725,0.09142884574631122,0.8602962231654584,0.06
43,0.04522963817557241,0.09216243300768975,0.8619127522807629,0.04
44,0.04515785393755981,0.09196229850266441,0.8622422920319527,0.04
45,0.044759390114131964,0.0916217629368718,0.8635467225513428,0.04
46,0.04435076968810905,0.09049352059743755,0.8655111339685106,0.06
47,0.04482529462151799,0.09168809820755906,0.8673683280601475,0.06
48,0.044450817528904916,0.09089147787485734,0.8689849267062796,0.06
49,0.04482686400855195,0.09155356915502308,0.8717824041900765,0.06
50,0.04520925893134259,0.09138334693128787,0.8727731443121424,0.06
51,0.04505580603462113,0.09119692881335391,0.8754793114974868,0.06
52,0.04498882290519848,0.09053464911189854,0.8754483623071179,0.06
53,0.045190056002905606,0.0907209266224633,0.8765646880074335,0.04
54,0.04563989423370826,0.09149195907406771,0.8785765011746004,0.04
55,0.045598490393333316,0.09115154806224676,0.8812848033588742,0.04
56,0.04555573031951094,0.09086045233695322,0.8837690725801093,0.04
57,0.04559015074698451,0.09085479317595906,0.8853823019077484,0.06
58,0.04551461968097161,0.09042816213142743,0.8886290591112481,0.06
59,0.04516971935769579,0.08968760732203354,0.8797106272971331,0.06
60,0.04575583802979913,0.0899655240084241,0.8781857940601727,0.06
61,0.04606707637820299,0.09046198327225097,0.879883478896171,0.06
62,0.04696024813488889,0.0916271524260293,0.8818453597537205,0.04
63,0.04707722788671533,0.09176573125954725,0.8824567352966398,0.04
64,0.04711153078688314,0.09159840237988764,0.8836539867044422,0.04
65,0.04729369792726745,0.09189674009074587,0.8844927058133779,0.04
66,0.047751583958254996,0.09231326322311273,0.8856536944715501,0.04
67,0.04798636541255222,0.09270159558263931,0.8874177351999657,0.04
68,0.04832983849292802,0.09305004662659012,0.8896944050145396,0.04
69,0.0479889757409684,0.09274422532400513,0.8912215675280202,0.04
70,0.04783257381637374,0.09255166511017401,0.8918292443400891,0.04
71,0.04771368386815197,0.09228597791176056,0.8933257197132032,0.04
72,0.047414300725546366,0.09201588363395292,0.893925095301977,0.04
73,0.04778333056870884,0.09268300537146235,0.8931557044527177,0.04
74,0.04746422329691821,0.09244495533144385,0.8940396639470798,0.04
75,0.04820137702886415,0.09331057124442482,0.8950811118509756,0.04
76,0.0487278475669686,0.09348972211796266,0.8954615445195403,0.04
77,0.04851113082584216,0.09310048890926459,0.8964561260115612,0.04
78,0.04855753598336548,0.09302859714753059,0.8978064435261781,0.04
79,0.04795555340385565,0.09280060540007001,0.8928911427186327,0.04
80,0.04754435548365027,0.09215094071535851,0.89427429728952,0.04
81,0.04736326585511636,0.09211924896619281,0.895209053594716,0.04
82,0.04765666887518467,0.09266137503017048,0.8973130032721385,0.04
83,0.04753777581914216,0.09277081426101558,0.8987559329892243,0.04
84,0.04774515688265297,0.09279264418320739,0.9016041623739032,0.04
85,0.047863220904946484,0.09270452699516524,0.9052404144729825,0.04
86,0.04863569316527187,0.094017236593121,0.9054128973764607,0.04
87,0.0486117821787862,0.09425024788118701,0.9067992475091892,0.04
88,0.04830407246368479,0.09364135681748537,0.9083840107046595,0.04
89,0.0485655025532839,0.09388347169882129,0.9107531013469329,0.04
90,0.0482721322579213,0.09391646365713413,0.9129938173252338,0.04
91,0.048849845189713685,0.09405174978523753,0.91583282375956,0.04
92,0.04838856832026149,0.09357565663506945,0.9178524455679485,0.04
93,0.048713961175812975,0.09388337316576804,0.9201903196425162,0.04
94,0.049099950279260396,0.09473428290185083,0.9218104998804232,0.04
95,0.0492286303570148,0.09483460488704634,0.9231571749620567,0.04
96,0.049872276278683514,0.09469813692031571,0.9253761289751782,0.04
97,0.049739304702661934,0.09464154147699103,0.9246335535408334,0.04
98,0.04946056119570581,0.0942656146050992,0.925668835261522,0.04
99,0.049044186429620724,0.09445496037755381,0.9209994046099472,0.04
