,training_error,error_variance,edge_variance,real_error
0,0.11431294215128372,0.24338771790104152,0.05889735688409569,0.12
1,0.11433494411705744,0.24339496112900774,0.05856756179146038,0.14
2,0.11425487899067309,0.2433022872477367,0.058393635312502995,0.14
3,0.11423173104210962,0.2433083507257683,0.05808661561358789,0.14
4,0.11423896777366677,0.24339676723551207,0.058019549402292425,0.14
5,0.11427524568808994,0.24342290596636523,0.05767020344516494,0.14
6,0.11435856442831396,0.2435247160560118,0.057389163171341,0.12
7,0.11431526874423024,0.24347912258072535,0.0572470282595874,0.12
8,0.1143666133047408,0.24344709207709136,0.057289642823992,0.12
9,0.11434850293603216,0.24338672892042248,0.05736084238107885,0.12
10,0.11428475444930979,0.24335587367530043,0.05728440542870249,0.12
11,0.1143178110842915,0.24333974490244192,0.05709766904925701,0.12
12,0.11440460700784157,0.243436122178952,0.05710390008613756,0.12
13,0.11439184306759591,0.2434104227055756,0.05709910266257944,0.12
14,0.11438122170195421,0.24340005451750937,0.057084857645115644,0.12
15,0.11427351865384172,0.2433235386590814,0.056990137791984335,0.12
16,0.11426882532658328,0.2432993348132198,0.057099321036422,0.12
17,0.11427511077868105,0.24329296132856437,0.05701602823598742,0.12
18,0.11426423661462526,0.24329406984858504,0.05699911564863416,0.12
19,0.11429584059853277,0.2432651249417703,0.0569928256568912,0.12
20,0.11437062534863854,0.24333231071544575,0.05694964349519277,0.12
21,0.11443307231407346,0.24346047894799894,0.05697015256475007,0.12
22,0.11447439358402911,0.2434609509829804,0.0569967462689249,0.12
23,0.11441243369540692,0.24342985974401185,0.05701163939104724,0.12
24,0.1143924307274969,0.24342547380940957,0.05702976195008356,0.12
25,0.11434379206549587,0.24339615933331285,0.05699736589961593,0.12
26,0.11433141051547455,0.24339474687330684,0.05699935144840675,0.12
27,0.11442070418435014,0.24341699177509016,0.05693700983402041,0.12
28,0.11437349966324115,0.2434171603899002,0.05698808483432934,0.12
29,0.1144008015529938,0.24338820786458415,0.05697784115972501,0.12
30,0.11442983933538631,0.24341353683666983,0.05699646277909639,0.12
31,0.11433038997812879,0.24331170308685204,0.05721396478611325,0.12
32,0.11441560469272133,0.24332986802432421,0.05715132065530084,0.12
33,0.11440797247518064,0.24321245448873355,0.05715891702515781,0.12
34,0.11457300062819221,0.24334481456107815,0.05718192120642308,0.12
35,0.11453081010173853,0.24332526648876093,0.05718484349925665,0.12
36,0.1146265750873254,0.24336334546241503,0.057230496187084624,0.12
37,0.11466358852960037,0.24335012203809123,0.05726997939240304,0.12
38,0.11477530745837104,0.24338247002237146,0.05718298793905104,0.12
39,0.11486042595315438,0.24338173867347804,0.05726652748644073,0.12
40,0.11486798980784074,0.243360113789535,0.057260004300206294,0.12
41,0.1148436072120864,0.24331802564544922,0.05727061898546165,0.12
42,0.11486378042051533,0.24329249318831173,0.05733005125408819,0.12
43,0.11489745164933039,0.24329454453267796,0.05725765180195448,0.12
44,0.11494091655155037,0.24333959662649796,0.05728292815786756,0.12
45,0.11508127063826322,0.24339677381108507,0.05718564963259147,0.12
46,0.11506830770985282,0.2433285688102469,0.05721348830763407,0.12
47,0.11509975244915102,0.24333575941863228,0.057236265603518736,0.12
48,0.11511456696481114,0.2433365131563698,0.05728139926186998,0.12
49,0.11519925280534725,0.24336642306934284,0.05730934269300773,0.12
50,0.11527960581820103,0.2434171424180963,0.056975376707545725,0.12
51,0.11534764060487544,0.24344180533360216,0.05701193148335862,0.12
52,0.11532285487809557,0.2434317091213361,0.05704799812660637,0.12
53,0.11532818787352962,0.2434700375402647,0.05722075232469789,0.12
54,0.1154297163405597,0.24346463801413784,0.0571435817273463,0.12
55,0.11542516585683309,0.24339761971975984,0.057175103151652445,0.12
56,0.11541517695851673,0.24331394111535964,0.05719249256929045,0.12
57,0.11544982083467993,0.24334670364838476,0.05723163153551958,0.12
58,0.11541276960293946,0.2432984005518108,0.057262481146362745,0.12
59,0.11542429402516267,0.24328324369022228,0.057298792626670085,0.12
60,0.11545492334431584,0.24331360931066165,0.05747139273824495,0.12
61,0.11543128529173236,0.2432632849479046,0.057533245066751136,0.14
62,0.11545475626363978,0.24323821332459292,0.05755690447110649,0.14
63,0.11538976598057349,0.24319046642007486,0.05762406398060493,0.14
64,0.11541136347650477,0.24319629275617785,0.05765177283222934,0.14
65,0.11542311512063573,0.24319342024157692,0.05764658105991292,0.12
66,0.11549822178210055,0.24325544074370894,0.05769631198818555,0.12
67,0.1155295433884915,0.24328159170793756,0.05771855388159435,0.12
68,0.11556466163034805,0.24326167099657617,0.05775648096900288,0.12
69,0.11558529722927,0.24328836914963267,0.05780476622289784,0.12
70,0.11565287924060151,0.24331485265294908,0.05784109465155317,0.12
71,0.11567825982180417,0.24333929980204233,0.05778974585938939,0.12
72,0.11575651862568137,0.24336095987652476,0.05786934870565396,0.12
73,0.11588350732721299,0.24342424816566627,0.05795480338731948,0.12
74,0.11593978877360367,0.24349274266844861,0.057980839769503634,0.12
75,0.11602313313025654,0.24348526117932232,0.05808153611260079,0.12
76,0.11593527958512809,0.24359562447238886,0.058191083676239784,0.12
77,0.1160405010355998,0.2436673945489627,0.05818845588869234,0.12
78,0.11617752753527082,0.2436776835800307,0.05819827127837618,0.12
79,0.11614514674185066,0.24365678745926544,0.05821841108501955,0.12
80,0.11616416437049329,0.24366729027527814,0.058229722786314365,0.12
81,0.11615285915251225,0.24369353942037403,0.05826330308992696,0.12
