,training_error,error_variance,edge_variance,real_error
0,0.16622209648538716,0.28246888515537827,0.04695709444274156,0.14
1,0.16613480738541855,0.2824369306652974,0.04655357293810956,0.14
2,0.16617609148878176,0.28240912380595207,0.045880308917473876,0.14
3,0.16599628501658278,0.28234420470789545,0.04474400894923754,0.14
4,0.16591330527491083,0.28229449565324477,0.043918459932642616,0.12
5,0.16582106400638272,0.2822214078335242,0.04377630244603544,0.14
6,0.16577927114154403,0.28220492599664854,0.04338158659285404,0.14
7,0.165761815363751,0.2821500746226415,0.043144050164623415,0.12
8,0.16565076732466527,0.2820782771308016,0.042987514620203594,0.12
9,0.16566606989012014,0.2820885321035882,0.04290495915029502,0.12
10,0.16562792049449473,0.28209122500877226,0.042834223140039436,0.12
11,0.1656224320178387,0.2820602375976449,0.04284806171014726,0.12
12,0.1656699699039296,0.28205494254266605,0.042844504713663925,0.12
13,0.16569913247650875,0.28202502284989706,0.04288747142005714,0.12
14,0.1656048654102457,0.28202260019901265,0.042956625788536804,0.14
15,0.16563799440463234,0.2819947521121224,0.04311967298248262,0.14
16,0.1655907245718354,0.2819669864509947,0.043213831380207936,0.14
17,0.16555173104740037,0.2819674405949983,0.04336878458165651,0.14
18,0.16561358319660194,0.2820065543747418,0.043375020789277435,0.14
19,0.165296351284632,0.28220712360585265,0.04348758092936364,0.12
20,0.1653387982786455,0.28220624172784453,0.04332757922636459,0.14
21,0.16551548345991543,0.2823132386063124,0.04329884762498798,0.12
22,0.1655028186066858,0.28231846035744534,0.04341857133960644,0.12
23,0.16560189180467885,0.2823390957178679,0.0435530450169533,0.12
24,0.16553632043888258,0.2822471673874673,0.043590299391286946,0.12
25,0.16555075646809908,0.2822209380993102,0.04366054554144569,0.12
26,0.1655735452834431,0.2822173861939254,0.043758794508680636,0.12
27,0.1656463833151334,0.2822670800763329,0.04397567696455772,0.12
28,0.16557431511588452,0.28219676485122963,0.044157617981302,0.12
29,0.16545462897508742,0.28209664456091993,0.04424125189794312,0.12
30,0.1655114159941086,0.2821011245518932,0.044249795519422125,0.12
31,0.16553825081481557,0.282110076843743,0.04453543017505471,0.12
32,0.16553034300118705,0.282161656099092,0.04457460728737293,0.12
33,0.16555897272142459,0.28217488257765727,0.04461303339383989,0.14
34,0.16555297502109803,0.2821867322779423,0.044433887791109454,0.14
35,0.16557149163291224,0.282220772885029,0.04460054483343536,0.14
36,0.16556336084581777,0.28220333220011495,0.04470889533512919,0.14
37,0.16550851429734312,0.2821968709073617,0.044790859335515174,0.14
38,0.16554849510443911,0.282188239462979,0.04490298296155404,0.14
39,0.16516757929885778,0.2823433003988701,0.04456721997514977,0.12
40,0.16517499509020386,0.28233821566473405,0.044661466388372484,0.12
41,0.16516407271232716,0.2823845069884942,0.044786507500483894,0.12
42,0.16524121021499286,0.28239865924076385,0.04491179533570169,0.14
43,0.16533064391121258,0.2824536724578556,0.045056664278953745,0.14
44,0.16527733318571458,0.28243570033066917,0.04515369704831758,0.14
45,0.1653659149464237,0.282493749755443,0.04535399153578373,0.14
46,0.16527397430629595,0.2824583135114867,0.04541740287905074,0.14
47,0.1652953934610546,0.2824779024362063,0.04550297337136769,0.14
48,0.16528425396761595,0.28244442498860167,0.0455835347539689,0.14
49,0.1652554946089548,0.28239628221784124,0.04568722354025499,0.14
50,0.165229432076153,0.28240964656882983,0.04582333956227775,0.12
51,0.16524577256871084,0.28243759195941465,0.046176843629317316,0.12
52,0.1652575075460527,0.28243471425963146,0.046303020252936915,0.12
53,0.16526781899458853,0.2824442837281147,0.04642286001519125,0.1
54,0.16533306100247916,0.28241152117179436,0.04659926603634495,0.1
55,0.16534985811715971,0.28240978287067425,0.04674598101273809,0.12
56,0.1654578593020385,0.282491718827608,0.04691234980553738,0.14
57,0.16540669105774722,0.28249008275168846,0.047119975187624036,0.14
58,0.1653435021493779,0.2825181254025455,0.04723751017311414,0.14
59,0.16499294424772062,0.2826724126663733,0.04718348723584767,0.14
60,0.16504147553624504,0.28263012580413627,0.04725760892231498,0.14
61,0.16499841552458355,0.2825616903379371,0.04739148290968178,0.14
62,0.16496734545056427,0.28249704299332973,0.047357693797241814,0.14
63,0.16501372352690113,0.2825096498557181,0.0474782189450023,0.14
64,0.16507877846257724,0.2825305711598367,0.04759060700648295,0.14
65,0.1650981173491334,0.28255133517558073,0.047645010144854096,0.14
66,0.1651196868536851,0.2825808946350813,0.04769722792814926,0.14
67,0.16525375977935175,0.28263949421864626,0.047756653915423705,0.14
68,0.1652894373464814,0.28266155767041057,0.047775939453835924,0.14
69,0.16526097244062563,0.28259906776788396,0.047871043149935434,0.14
70,0.16527645986445186,0.28258296400804545,0.04801455649064609,0.14
71,0.16520371235208525,0.2825268007019919,0.0480488977021841,0.14
72,0.16531891973865853,0.2825421057809996,0.04813845078233175,0.12
73,0.1653715942466528,0.2825467401001693,0.04824579905658276,0.12
