,training_error,error_variance,edge_variance,real_error
0,0.02459897963214144,0.062414655629737054,0.8944652448986331,0.06
1,0.024255787292315825,0.06214123974533885,0.8849002931137367,0.06
2,0.023983724877629235,0.06187569569853217,0.876830711304861,0.06
3,0.02360077920149572,0.06140204351258096,0.8708756802221626,0.06
4,0.023315021211749123,0.06094041982821899,0.8657636433783089,0.06
5,0.02318174120335931,0.06065919621513244,0.8577702261401189,0.06
6,0.022794463519385744,0.060114366244212535,0.8533948761663759,0.06
7,0.022813579068490745,0.06028148307334048,0.849242149013261,0.06
8,0.022643154680058675,0.060074295311524514,0.8454079330321016,0.06
9,0.022482469931329747,0.059820523162207734,0.8423969211275211,0.06
10,0.022233295719716998,0.05950302182809573,0.8400851974877751,0.06
11,0.022097231007860898,0.059503469365194316,0.8380682421019686,0.06
12,0.022080902476811787,0.05955822914402314,0.8350178877312989,0.04
13,0.02207234777699341,0.059700087266639335,0.8332910001591889,0.06
14,0.022147258342169476,0.059864029422751604,0.8315407807931379,0.06
15,0.022082790933194922,0.060029057984825024,0.829629012981132,0.06
16,0.021948166627565945,0.05997341843742104,0.8279857728827806,0.06
17,0.022048913569341806,0.060435661492288135,0.8265770252982892,0.06
18,0.022056532782041324,0.060890771319822484,0.8238147630876298,0.06
19,0.02202010598226859,0.06085920798099693,0.823101233856493,0.06
20,0.021869461864026066,0.06065860844731974,0.8217457718426668,0.06
21,0.021743922220246847,0.0604398270825731,0.8205286054965256,0.06
22,0.02172130864646138,0.06050492179179215,0.8187119922629882,0.06
23,0.021793151783919277,0.06071949443742916,0.8183520410497049,0.06
24,0.021741629952118237,0.06073025152438084,0.8177007972132285,0.06
25,0.02165051360518629,0.060545796441700404,0.8174497341775464,0.06
26,0.02163421181377282,0.0607207314808104,0.8172420629903336,0.08
27,0.021629031169880342,0.06076695190828401,0.8165862297594637,0.08
28,0.0216098369105543,0.06086272381082083,0.8165810945162081,0.06
29,0.02153911764889472,0.0608691704580433,0.8159229424870245,0.08
30,0.02144861466554955,0.060751953679879206,0.8153984419569691,0.04
31,0.02146853453463042,0.06083003471426955,0.8151642142324353,0.04
32,0.021480831464749578,0.06093277397218723,0.8150862317595519,0.04
33,0.021408121876092406,0.06078177332189892,0.815031074483952,0.04
34,0.021382454671145357,0.060818131578864815,0.8149772896400441,0.04
35,0.021383628507766816,0.06084975362245327,0.8145544208424592,0.04
36,0.021430648921776513,0.06123583711379972,0.8147738574501359,0.04
37,0.02146655950038112,0.061312596275518536,0.8147376945170887,0.04
38,0.02141052808788341,0.06136116346485071,0.8143541185125134,0.04
39,0.021466679387534913,0.06141019242694947,0.8140910454705388,0.04
40,0.0214529860353901,0.06147935833721713,0.8136015673380745,0.04
41,0.021392908575761968,0.06155685782439075,0.8136359401553808,0.04
42,0.021304921219214977,0.06137800238533983,0.8135787135321896,0.04
43,0.021306810152398648,0.061487674963699994,0.8132092138233706,0.04
44,0.021233318104171162,0.06148191585704363,0.813247024831858,0.04
45,0.021182404210604005,0.06140057449096917,0.8130837444275535,0.04
46,0.021012950283707206,0.061137003666218555,0.8134954903284817,0.06
47,0.020955841471694752,0.06084399209821048,0.8130331180946642,0.08
48,0.020913841829916683,0.060802232140554247,0.8129422432196052,0.08
49,0.020862683092986497,0.06051462474360982,0.8127152648024494,0.08
50,0.020853749667516963,0.060527065497223684,0.8128419314808972,0.08
51,0.020815940388106594,0.060452659941385684,0.8125911326021809,0.08
52,0.020853132682771502,0.06055012064746822,0.8125577490587851,0.08
53,0.020641660361672233,0.060128078552099666,0.8126539279911225,0.06
54,0.020604967056913545,0.060032687819190994,0.8125985617496547,0.08
55,0.020616429684859022,0.06009015994594829,0.8131239420219406,0.06
56,0.020645573053134615,0.06010043340966837,0.8180009691801766,0.06
57,0.020662351735107467,0.060184178853072534,0.817102523990414,0.06
58,0.020543368833211447,0.05979189429559201,0.8166230174103897,0.06
59,0.020525292491458385,0.059737471731254536,0.8162255205834033,0.06
60,0.020347009958903848,0.059572185632817826,0.8162444345705699,0.06
61,0.020312285163889415,0.05948687417747444,0.815457793277345,0.06
62,0.020308582517155328,0.059483457878741014,0.8150967232899915,0.06
63,0.020217712188295555,0.059217871444522424,0.8148488495441455,0.04
64,0.020247548381881482,0.0592390970561734,0.8145446181830521,0.04
65,0.020162938046873552,0.05911465940939432,0.814215223373717,0.04
66,0.02017543219228713,0.05917692948368228,0.8139972336022907,0.04
67,0.02026773632263188,0.05947001112432085,0.8137306659927811,0.04
68,0.020302110252863305,0.05954350336903411,0.8137063432688638,0.04
69,0.020319723429096843,0.0595887965777366,0.8135180137300494,0.04
70,0.020242694176709073,0.059127102036513814,0.8135280410527839,0.04
71,0.020282088218560555,0.05932556257460632,0.8131504019079957,0.04
72,0.020228656589884087,0.059312589967831224,0.8126904827880042,0.04
73,0.02029564741609008,0.059433119802805565,0.812731931551542,0.04
74,0.02018381419921719,0.059094764593249145,0.8127443582025806,0.04
75,0.02031930391424394,0.059552778746425325,0.8125118144926124,0.04
76,0.020354686131280185,0.05969690488569341,0.8120561289100048,0.04
77,0.020513306662062122,0.06013937119795574,0.8116970770984901,0.04
78,0.02042552588604187,0.05991136744077526,0.8112398209127195,0.04
79,0.020390246672300667,0.059827145347234933,0.8107086053865514,0.04
80,0.02031531946816624,0.05976082771412043,0.8099356471904003,0.04
81,0.020326689509998837,0.05980601139477781,0.8096064645835171,0.04
82,0.02041084115526867,0.06017541642948243,0.8092765994818505,0.08
83,0.020436807386785282,0.06028703169003722,0.809005813556927,0.08
84,0.020378025383383982,0.060080930547745715,0.8090768407807848,0.08
85,0.02042260318357908,0.060221463653403924,0.8083848426884096,0.08
86,0.020392102483348218,0.060057672990999435,0.808202152908523,0.08
87,0.020490659707763155,0.06020632942596321,0.8081612270828763,0.08
88,0.020525290788516788,0.06018852508474204,0.8074604406329994,0.08
89,0.02051817108889899,0.0603320645729125,0.8075655921775416,0.08
90,0.020488385334408492,0.0601741150500082,0.8071930930871135,0.08
91,0.02054935401089404,0.060313046303584965,0.8064262815259724,0.08
92,0.020541510609114202,0.06031572541156419,0.8061755186017568,0.08
93,0.020561516616220132,0.06043545294460828,0.8060193268095069,0.08
94,0.0205230649387308,0.06046702589197756,0.8166184886604702,0.08
95,0.020587150116630853,0.0605061044968473,0.8156530369243168,0.08
96,0.020609339769017295,0.06056769972334874,0.8147824204784729,0.08
97,0.020637842701802227,0.060710508560718024,0.8136814632714588,0.08
98,0.020617723940854846,0.06069844620414901,0.8128962955617968,0.08
99,0.02070118181606797,0.06073764835231571,0.8116428687085169,0.08
