,training_error,error_variance,edge_variance,real_error
0,0.026161417069655735,0.0674236573417835,0.8590824473682157,0.0
1,0.02566172521018495,0.06644765765635988,0.8546041384389588,0.0
2,0.025197781540716974,0.06554714705151082,0.8518863986486414,0.02
3,0.024785703844911966,0.0650778658084253,0.8486501675370197,0.0
4,0.02468116132886512,0.06525035963388086,0.8458496776883365,0.04
5,0.024230011081177,0.06457271072352563,0.8445343323015511,0.04
6,0.024073246478288974,0.06448247378323059,0.8440320168286451,0.06
7,0.023723988392876903,0.06386949279853808,0.8435282718814465,0.08
8,0.02338436134861843,0.06362546953888844,0.8438445551918885,0.06
9,0.023550734090765933,0.06415975383147722,0.8442905457622272,0.06
10,0.023178954404603307,0.06364533636622592,0.8443882386251343,0.08
11,0.023008376013144004,0.06340777492396645,0.8446593211676862,0.06
12,0.022951156232422762,0.06325660856169084,0.8464142481161883,0.06
13,0.022596676073291643,0.06277558569619185,0.8486465042441107,0.06
14,0.02253706437040382,0.06241765706192663,0.8496777428027212,0.06
15,0.022188418871354292,0.061852858204560456,0.8509367391574731,0.06
16,0.021883500164412095,0.0611980296007628,0.8519032763375615,0.06
17,0.02172388830067198,0.060512659283784895,0.8537882087206118,0.06
18,0.02158365456221501,0.06009305017194717,0.8559258106551879,0.06
19,0.021261246036727896,0.059588065500404706,0.8576967463334011,0.06
20,0.020883908728127884,0.05864628774188634,0.8601512629296714,0.06
21,0.020601434926806442,0.058092919583984604,0.8587147339894491,0.06
22,0.020292305185837828,0.05767651170858685,0.8610608564585479,0.06
23,0.02007431345723314,0.05726581541839734,0.8616324201207091,0.06
24,0.020007104743233747,0.05721594820659407,0.8641325705788828,0.06
25,0.019949235735819876,0.05712794795537909,0.8656079029515824,0.06
26,0.01985901275236401,0.05689895896064415,0.865679253353551,0.06
27,0.019892791909840165,0.05703893676821466,0.867546837521782,0.06
28,0.01977168403750193,0.056982819937790544,0.8691421867570317,0.06
29,0.01989409339284002,0.05712753583438402,0.8708452295395451,0.04
30,0.01980429966417026,0.056991964276597994,0.8726385029353338,0.04
31,0.019781908410748384,0.05706644735650473,0.8739403763107265,0.04
32,0.019735474181252162,0.057039740176253025,0.8752131748214763,0.04
33,0.01961632516385171,0.056869107310857266,0.8767950100382239,0.04
34,0.01963625219458882,0.057161610183490516,0.8782076061188054,0.04
35,0.01946481849870238,0.05677496426831631,0.8793901389246294,0.04
36,0.019457753191866635,0.05679491995572987,0.8820171954184708,0.04
37,0.01960199995438721,0.057069844458218534,0.8831139490880597,0.04
38,0.019607411144939767,0.05709249132318857,0.8845900043641456,0.04
39,0.01949584331252177,0.05707363542138766,0.8864157944972941,0.04
40,0.019564893305483406,0.05725327094162666,0.8877749246385881,0.04
41,0.019816985837400065,0.05797447700325486,0.889854765522525,0.04
42,0.019887771108549113,0.05818662463530371,0.8925137641277867,0.04
43,0.019787344644903268,0.05783334060791021,0.8984543769255289,0.04
44,0.02029217002426901,0.05876169679895821,0.9002383210608482,0.04
45,0.020295056869232043,0.05853463654725133,0.9001799905845383,0.04
46,0.02027239303252715,0.0585138358681797,0.9016894230446912,0.04
47,0.020204729957394744,0.0580581340465981,0.9031318301069943,0.04
48,0.020308064208743624,0.057968157287263726,0.9049991842693539,0.04
49,0.020273448186647034,0.05766295466180092,0.9066782017855713,0.04
50,0.020187157156482307,0.05751365550286846,0.9063936090812793,0.04
51,0.02011057740465853,0.0572921334933176,0.9085600568004074,0.04
52,0.020307337197602485,0.05749894578644174,0.9109441473373452,0.04
53,0.020296581308281502,0.0572466770301623,0.9133568996131407,0.04
54,0.0203866876457975,0.05754386628757572,0.9156751389483411,0.04
55,0.020485591697308462,0.057610234080401806,0.9178792561956538,0.04
56,0.020525563686690524,0.057685464593260696,0.9188710562283728,0.04
57,0.020690571364214982,0.05796648180271105,0.9213599010728715,0.04
58,0.02085840721912563,0.05794457219935434,0.9241271841935895,0.04
59,0.021053660358489452,0.057984797049096995,0.9267196183621266,0.04
60,0.021049749065640153,0.05786258402755423,0.9281681592243156,0.04
61,0.02110553403077281,0.05805518540448345,0.9289905682352744,0.04
62,0.021208496897316763,0.05845722263037609,0.9297975765394743,0.04
63,0.021060910089195264,0.05804370001746641,0.9316205709615503,0.04
64,0.020828013482010813,0.0574352642928222,0.9331838794289096,0.04
65,0.021135797075259005,0.05807045583783243,0.9328346317971763,0.04
66,0.021169069851321814,0.05822365044478888,0.9338152746591569,0.06
67,0.02128450619748286,0.058395691559238544,0.9313608342031445,0.04
68,0.021310893304440606,0.05839708806870709,0.9320467047859897,0.04
69,0.02116709269058338,0.05791074374561475,0.9321619465671642,0.04
70,0.020953074312250478,0.05741161343119635,0.9354741605830144,0.04
71,0.020929614288578584,0.05767789478278148,0.9361654992342295,0.04
72,0.020850698722057404,0.05735684540843407,0.9371331315854997,0.04
73,0.020916430171132087,0.05746717595269237,0.9383648980403204,0.04
74,0.021156536358821056,0.05760623120661595,0.9394285182137876,0.04
75,0.021091032136097445,0.05733565266442384,0.9404328434730593,0.04
76,0.021065767977067343,0.05725986398786109,0.941133313336634,0.06
77,0.020958944600343133,0.05682690913175094,0.9432977200019029,0.06
78,0.021215762036249027,0.05715419723596141,0.9444675362422934,0.06
79,0.021216959445997746,0.05720686731648189,0.9453549431676974,0.06
80,0.02131865316574947,0.05702953074495711,0.9467954373486787,0.06
81,0.021425047008584747,0.05691484267587156,0.949407775579276,0.06
82,0.021511192832804255,0.056850457151645335,0.9511110678511264,0.06
83,0.0216254365067463,0.05694914944122537,0.9511220212362451,0.06
84,0.0214445524209014,0.056540085592118386,0.951937732893414,0.06
85,0.021228431072111673,0.056035232157577684,0.9517213137919727,0.06
86,0.02121494183042594,0.05579794706517402,0.9530681107203153,0.06
87,0.021374637810827688,0.05595319128055121,0.9543287261283984,0.06
88,0.021545399387095397,0.056035053047450135,0.9556380441911483,0.06
89,0.021872540024058394,0.05623260214933882,0.9571127699272656,0.06
90,0.02196238259415158,0.05679135773778263,0.958575412419259,0.06
91,0.02229786418154689,0.05716410946378895,0.9588307600108859,0.06
92,0.022613084977615498,0.05742725618880487,0.9601771499736664,0.06
93,0.02277282927448237,0.05763378588448287,0.9607200946646313,0.06
94,0.022808371131290653,0.05757344466073306,0.9633154698774827,0.06
95,0.02314917954422166,0.05783955911378,0.9642618361618912,0.06
96,0.0231354761389028,0.05775058395955203,0.9652872459702504,0.06
97,0.0234687548597015,0.058089127339980985,0.968054032360061,0.06
98,0.02348471525384132,0.058090714967058844,0.970115698655389,0.06
99,0.023570184325177972,0.058113780147112284,0.9715546196443818,0.06
